Date	PM2.5
2018-11-08 00:00:00	17
2018-11-08 01:00:00	25
2018-11-08 02:00:00	14
2018-11-08 03:00:00	9
2018-11-08 04:00:00	7
2018-11-08 05:00:00	5
2018-11-08 06:00:00	7
2018-11-08 07:00:00	10
2018-11-08 08:00:00	23
2018-11-08 09:00:00	11
2018-11-08 10:00:00	14
2018-11-08 11:00:00	11
2018-11-08 12:00:00	11
2018-11-08 13:00:00	10
2018-11-08 14:00:00	7
2018-11-08 15:00:00	14
2018-11-08 16:00:00	11
2018-11-08 17:00:00	13
2018-11-08 18:00:00	27
2018-11-08 19:00:00	30
2018-11-08 20:00:00	42
2018-11-08 21:00:00	42
2018-11-08 22:00:00	42
2018-11-08 23:00:00	22
2018-11-09 00:00:00	11
2018-11-09 01:00:00	8
2018-11-09 02:00:00	6
2018-11-09 03:00:00	5
2018-11-09 04:00:00	10
2018-11-09 05:00:00	24
2018-11-09 06:00:00	60
2018-11-09 07:00:00	15
2018-11-09 08:00:00	8
2018-11-09 09:00:00	8
2018-11-09 10:00:00	6
2018-11-09 11:00:00	4
2018-11-09 12:00:00	6
2018-11-09 13:00:00	7
2018-11-09 14:00:00	7
2018-11-09 15:00:00	9
2018-11-09 16:00:00	7
2018-11-09 17:00:00	11
2018-11-09 18:00:00	10
2018-11-09 19:00:00	8
2018-11-09 20:00:00	7
2018-11-09 21:00:00	10
2018-11-09 22:00:00	10
2018-11-09 23:00:00	8
2018-11-10 00:00:00	17
2018-11-10 01:00:00	22
2018-11-10 02:00:00	17
2018-11-10 03:00:00	15
2018-11-10 04:00:00	20
2018-11-10 05:00:00	19
2018-11-10 06:00:00	17
2018-11-10 07:00:00	20
2018-11-10 08:00:00	18
2018-11-10 09:00:00	15
2018-11-10 10:00:00	21
2018-11-10 11:00:00	24
2018-11-10 12:00:00	24
2018-11-10 13:00:00	25
2018-11-10 14:00:00	33
2018-11-10 15:00:00	47
2018-11-10 16:00:00	68
2018-11-10 17:00:00	73
2018-11-10 18:00:00	74
2018-11-10 19:00:00	84
2018-11-10 20:00:00	121
2018-11-10 21:00:00	115
2018-11-10 22:00:00	96
2018-11-10 23:00:00	93
2018-11-11 00:00:00	100
2018-11-11 01:00:00	106
2018-11-11 02:00:00	111
2018-11-11 03:00:00	130
2018-11-11 04:00:00	131
2018-11-11 05:00:00	135
2018-11-11 06:00:00	121
2018-11-11 07:00:00	126
2018-11-11 08:00:00	102
2018-11-11 09:00:00	50
2018-11-11 10:00:00	10
2018-11-11 11:00:00	7
2018-11-11 12:00:00	24
